"alim_ssssgrp_code=A2&B2&""01""",alim_code,alim_nom_fr
000001,24999,Dessert (aliment moyen)
010101,25601,"Salade de thon et légumes, appertisée"
010101,25602,"Salade composée avec viande ou poisson, appertisée"
010101,25605,"Champignons à la grecque, appertisés"
010101,25606,"Salade de pommes de terre, fait maison"
010101,25608,Taboulé ou Salade de couscous
010101,25609,Salade de pomme de terre à la piémontaise
010101,25614,"Salade de riz, appertisée"
010101,25615,"Salade de pâtes, végétarienne"
010101,25616,"Crudité, sans assaisonnement (aliment moyen)"
010101,25619,"Salade de pâtes aux légumes, avec poisson ou viande"
010101,25626,"Macédoine de légumes en salade, avec sauce"
010101,25628,"Salade César au poulet (salade verte, fromage, croûtons, sauce)"
010101,25629,Salade végétale à base de boulgour et/ou quinoa et légumes
010101,26257,"Carottes râpées, avec sauces"
010101,26258,"Salade de betterave, avec sauce"
010101,26259,"Salade de chou ou Coleslaw, avec sauce"
010101,26260,Salade de concombre à la crème/fromage blanc
010101,26261,Salade de lentilles et saucisse fumée
010101,26262,"Salade grecque, avec sauce"
010101,26263,"Salade de riz à la niçoise, avec sauce"
010101,26269,Taboulé ou Salade de couscous au poulet
010201,25900,Soupe aux lentilles
010201,25901,Soupe à la volaille et aux légumes
010201,25903,Soupe aux légumes variés
010201,25904,Soupe de poissons et / ou crustacés
010201,25905,Soupe aux légumes variés
010201,25907,Soupe aux poireaux et pommes de terre
010201,25908,Soupe à la volaille et aux vermicelles
010201,25909,"Bouillon de viande et légumes type pot0au0feu, prêt à consommer"
010201,25910,Soupe à l'oignon
010201,25912,Soupe aux champignons
010201,25913,Soupe à la carotte
010201,25914,Soupe à la tomate
010201,25915,"Soupe chorba frik, à base de viande et de frik"
010201,25916,Soupe minestrone
010201,25917,Soupe au pistou
010201,25919,Soupe de poissons et / ou crustacés
010201,25923,"Soupe asiatique, avec pâtes"
010201,25924,Soupe marocaine
010201,25925,Soupe aux poireaux et pommes de terre
010201,25928,Soupe à la volaille et aux légumes
010201,25930,Bouillon de boeuf
010201,25932,Soupe aux asperges
010201,25933,Soupe à la tomate et aux vermicelles
010201,25934,Soupe aux céréales et aux légumes
010201,25935,Soupe à la tomate
010201,25936,Soupe aux champignons
010201,25942,Soupe à l'oignon
010201,25945,Soupe au potiron
010201,25947,Bouillon de volaille
010201,25948,Bouillon de légumes
010201,25949,Soupe à la tomate et aux vermicelles
010201,25950,Soupe à la volaille et aux vermicelles
010201,25953,Soupe au pistou
010201,25954,Soupe au potiron
